source,text,created_at,retweet_count,favorite_count,is_retweet,id_str
Twitter for Android,Does anybody remember when Bill Clinton in 2008 worked long and hard for Hillary? She LOST! Now Bill is at it again. Just watch.,01-03-2016 17:55:26,2560,6775,false,683708260784967680
Twitter for Android,In the just out @FoxNews Poll I easily beat Hillary Clinton - and I havn't even focused on her yet. On our way: MAKE AMERICA GREAT AGAIN!,01-10-2016 18:28:54,3108,8432,false,686253395024297984
Twitter for Android,Numerous polls have me beating Hillary Clinton. In a race with her voter turnout will be the highest in U.S. history-I get most new voters!,01-13-2016 05:46:27,2852,8821,false,687148683712958464
Twitter for Android,"@ameriflames: @realDonaldTrump @CLewandowski_ no one wants a Bush or a Clinton they want a straight shooter like TRUMP!",01-14-2016 20:07:25,1684,5176,false,687727739516891136
Twitter for iPhone,Failing @GlennBeck lost all credibility. Not only was he fired @ FOX he would have voted for Clinton over McCain. https://t.co/dfCOkb7Ex8,01-23-2016 16:54:37,2028,4565,false,690940712578195457
Twitter for iPhone,"@realDonaldTrump &amp; @HillaryClinton leading POLLS w/ one week until #IowaCaucus ...MORE on the 2016 elections TONIGHT on @FoxBusiness 7PM",01-25-2016 23:50:44,642,2374,false,691770208927752193
Twitter for iPhone,Thank you!Mitchell FOX2 Michigan Poll finds Trump holds 3-1 lead over closest GOP opponents. Trump 47% Clinton 43% https://t.co/xpaeV0YzGV,01-29-2016 17:02:06,3946,9946,false,693116922808963072
Twitter for Android,The new e-mail release is a disaster for Hillary Clinton. At a minimum how can someone with such bad judgement be our next president?,01-29-2016 23:51:34,5429,13274,false,693219967215493121
Twitter for Android,Hillary Clinton is a major national security risk. Not presidential material!,01-30-2016 03:52:49,8353,19114,false,693280682534137856
Twitter for iPhone,How can @JebBush beat Hillary Clinton- if he can't beat anyone else on the #GOPDebate stage with $150M? I am the only one who can!,02-14-2016 05:37:59,3225,9622,false,698742963447451648
Twitter for Android,Ted Cruz is lying again. Polls are showing that I do beat Hillary Clinton head to head. Check out https://t.co/45g7qpxq7T Poll snd Q Poll.,02-25-2016 02:20:19,2669,7220,false,702679486496706564
